Plant_Code,Site,Bee_Count,Treatment_Code,Mold,Insecticide,Sugar,Paint,julDate,julWeek,Month,Day,Time,min_day,hour_day,Temp_F,Wind_mph,Conditions,Barometric,Humidity
A14,A,0,55,0,0,0,1,109,16,Apr,18,2:43:00 PM,883,14,74,3,Full Sun,28,39
A15,A,0,55,0,0,0,1,109,16,Apr,18,11:24:00 AM,684,11,68,2,Full Sun,28,35
A15,A,0,55,0,0,0,1,109,16,Apr,18,3:21:00 PM,921,15,74,1,Partly Cloudy (>50% sun),28,37
A15,A,0,55,0,0,0,1,109,16,Apr,18,3:34:00 PM,934,15,74,1,Partly Cloudy (>50% sun),28,37
A16,A,0,56,0,0,1,0,109,16,Apr,18,10:46:00 AM,646,10,73,0,Full Sun,28,29
A16,A,0,56,0,0,1,0,109,16,Apr,18,2:10:00 PM,850,14,74,3,Full Sun,28,39
A16,A,0,56,0,0,1,0,109,16,Apr,18,3:15:00 PM,915,15,73,1,Full Sun,28,38
A17,A,3,56,0,0,1,0,109,16,Apr,18,11:37:00 AM,697,11,68,2,Full Sun,28,35
A17,A,2,56,0,0,1,0,109,16,Apr,18,11:56:00 AM,716,11,77,0,Full Sun,28,32
A17,A,5,56,0,0,1,0,109,16,Apr,18,3:30:00 PM,930,15,74,1,Partly Cloudy (>50% sun),28,37
A18,A,0,56,0,0,1,0,109,16,Apr,18,11:22:00 AM,682,11,68,2,Full Sun,28,35
A18,A,0,56,0,0,1,0,109,16,Apr,18,11:52:00 AM,712,11,68,2,Full Sun,28,35
A18,A,4,56,0,0,1,0,109,16,Apr,18,2:17:00 PM,857,14,74,3,Full Sun,28,39
A19,A,0,57,0,0,1,1,109,16,Apr,18,10:51:00 AM,651,10,73,0,Full Sun,28,29
A19,A,0,57,0,0,1,1,109,16,Apr,18,2:41:00 PM,881,14,74,3,Full Sun,28,39
A19,A,0,57,0,0,1,1,109,16,Apr,18,3:28:00 PM,928,15,74,1,Partly Cloudy (>50% sun),28,37
A20,A,0,57,0,0,1,1,109,16,Apr,18,11:56:00 AM,716,11,77,0,Full Sun,28,32
A20,A,0,57,0,0,1,1,109,16,Apr,18,2:43:00 PM,883,14,74,3,Full Sun,28,39
A20,A,0,57,0,0,1,1,109,16,Apr,18,2:57:00 PM,897,14,73,1,Full Sun,28,38
A21,A,1,57,0,0,1,1,109,16,Apr,18,11:06:00 AM,666,11,73,0,Full Sun,28,29
A21,A,0,57,0,0,1,1,109,16,Apr,18,11:12:00 AM,672,11,73,0,Full Sun,28,29
A21,A,3,57,0,0,1,1,109,16,Apr,18,2:30:00 PM,870,14,74,3,Full Sun,28,39
C01,C,0,51,1,0,0,0,110,16,Apr,19,11:41:00 AM,701,11,78,2,Full Sun,29,40
C01,C,0,51,1,0,0,0,110,16,Apr,19,2:39:00 PM,879,14,80,2,Full Sun,29,39
C02,C,0,51,1,0,0,0,110,16,Apr,19,10:41:00 AM,641,10,73,1,Full Sun,29,47
C02,C,0,51,1,0,0,0,110,16,Apr,19,2:07:00 PM,847,14,84,1,Full Sun,28,39
C03,C,0,51,1,0,0,0,110,16,Apr,19,1:54:00 PM,834,14,84,1,Full Sun,28,39
C03,C,1,51,1,0,0,0,110,16,Apr,19,10:35:00 AM,635,10,73,1,Full Sun,29,47
C04,C,0,52,1,1,0,0,110,16,Apr,19,12:21:00 PM,741,12,76,3,Full Sun,28,42
C04,C,0,52,1,1,0,0,110,16,Apr,19,2:56:00 PM,896,14,80,2,Full Sun,28,43
C05,C,0,52,1,1,0,0,110,16,Apr,19,11:09:00 AM,669,11,73,1,Full Sun,29,47
C05,C,2,52,1,1,0,0,110,16,Apr,19,2:24:00 PM,864,14,84,1,Full Sun,28,39
C06,C,0,52,1,1,0,0,110,16,Apr,19,11:33:00 AM,693,11,78,2,Full Sun,29,40
C06,C,0,52,1,1,0,0,110,16,Apr,19,2:49:00 PM,889,14,80,2,Full Sun,29,39
C07,C,0,53,0,0,0,0,110,16,Apr,19,11:17:00 AM,677,11,78,2,Full Sun,29,40
C07,C,0,53,0,0,0,0,110,16,Apr,19,3:11:00 PM,911,15,80,2,Full Sun,28,43
C08,C,0,53,0,0,0,0,110,16,Apr,19,12:04:00 PM,724,12,81,1,Full Sun,29,40
C08,C,0,53,0,0,0,0,110,16,Apr,19,2:16:00 PM,856,14,84,1,Full Sun,28,39
C09,C,0,53,0,0,0,0,110,16,Apr,19,11:57:00 AM,717,11,81,1,Full Sun,29,40
C09,C,0,53,0,0,0,0,110,16,Apr,19,3:12:00 PM,912,15,80,2,Full Sun,28,43
C10,C,0,54,0,1,0,0,110,16,Apr,19,10:56:00 AM,656,10,73,1,Full Sun,29,47
C10,C,0,54,0,1,0,0,110,16,Apr,19,2:25:00 PM,865,14,80,2,Full Sun,29,39
C11,C,0,54,0,1,0,0,110,16,Apr,19,10:53:00 AM,653,10,73,1,Full Sun,29,47
C11,C,0,54,0,1,0,0,110,16,Apr,19,2:33:00 PM,873,14,80,2,Full Sun,29,39
C12,C,1,54,0,1,0,0,110,16,Apr,19,10:43:00 AM,643,10,73,1,Full Sun,29,47
C12,C,0,54,0,1,0,0,110,16,Apr,19,2:43:00 PM,883,14,80,2,Full Sun,29,39
C13,C,0,55,0,0,0,1,110,16,Apr,19,11:05:00 AM,665,11,73,1,Full Sun,29,47
C13,C,0,55,0,0,0,1,110,16,Apr,19,3:05:00 PM,905,15,80,2,Full Sun,28,43
C14,C,0,55,0,0,0,1,110,16,Apr,19,11:37:00 AM,697,11,78,2,Full Sun,29,40
C14,C,0,55,0,0,0,1,110,16,Apr,19,2:00:00 PM,840,14,84,1,Full Sun,28,39
C15,C,1,55,0,0,0,1,110,16,Apr,19,12:14:00 PM,734,12,76,3,Full Sun,28,42
C15,C,0,55,0,0,0,1,110,16,Apr,19,2:57:00 PM,897,14,80,2,Full Sun,28,43
C16,C,1,56,0,0,1,0,110,16,Apr,19,11:28:00 AM,688,11,78,2,Full Sun,29,40
C16,C,1,56,0,0,1,0,110,16,Apr,19,2:16:00 PM,856,14,84,1,Full Sun,28,39
C17,C,1,56,0,0,1,0,110,16,Apr,19,11:49:00 AM,709,11,81,1,Full Sun,29,40
C17,C,5,56,0,0,1,0,110,16,Apr,19,2:10:00 PM,850,14,84,1,Full Sun,28,39
C18,C,5,56,0,0,1,0,110,16,Apr,19,1:50:00 PM,830,13,84,1,Full Sun,28,39
C18,C,2,56,0,0,1,0,110,16,Apr,19,11:02:00 AM,662,11,73,1,Full Sun,29,47
C19,C,0,57,0,0,1,1,110,16,Apr,19,11:16:00 AM,676,11,78,2,Full Sun,29,40
C19,C,2,57,0,0,1,1,110,16,Apr,19,2:00:00 PM,840,14,84,1,Full Sun,28,39
C20,C,0,57,0,0,1,1,110,16,Apr,19,11:25:00 AM,685,11,78,2,Full Sun,29,40
C20,C,1,57,0,0,1,1,110,16,Apr,19,3:02:00 PM,902,15,80,2,Full Sun,28,43
C21,C,0,57,0,0,1,1,110,16,Apr,19,11:47:00 AM,707,11,81,1,Full Sun,29,40
C21,C,2,57,0,0,1,1,110,16,Apr,19,2:32:00 PM,872,14,80,2,Full Sun,29,39
B01,B,0,51,1,0,0,0,115,17,Apr,24,12:07:00 PM,727,12,73,0,Partly Cloudy (>50% sun),29,50
B01,B,0,51,1,0,0,0,115,17,Apr,24,2:47:00 PM,887,14,77,2,Partly Cloudy (>50% sun),29,42
B02,B,7,51,1,0,0,0,115,17,Apr,24,12:37:00 PM,757,12,72,1,Partly Cloudy (>50% sun),29,49
B02,B,5,51,1,0,0,0,115,17,Apr,24,2:27:00 PM,867,14,79,2,Partly Cloudy (>50% sun),29,41
B03,B,0,51,1,0,0,0,115,17,Apr,24,11:56:00 AM,716,11,73,0,Partly Cloudy (>50% sun),29,50
B03,B,0,51,1,0,0,0,115,17,Apr,24,2:28:00 PM,868,14,79,2,Partly Cloudy (>50% sun),29,41
B04,B,1,52,1,1,0,0,115,17,Apr,24,11:51:00 AM,711,11,73,0,Partly Cloudy (>50% sun),29,50
B04,B,0,52,1,1,0,0,115,17,Apr,24,2:42:00 PM,882,14,79,2,Partly Cloudy (>50% sun),29,41
B05,B,1,52,1,1,0,0,115,17,Apr,24,12:49:00 PM,769,12,76,1,Partly Cloudy (>50% sun),29,45
B05,B,0,52,1,1,0,0,115,17,Apr,24,2:57:00 PM,897,14,77,2,Partly Cloudy (>50% sun),29,42
B06,B,0,52,1,1,0,0,115,17,Apr,24,12:15:00 PM,735,12,72,1,Partly Cloudy (>50% sun),29,49
B06,B,1,52,1,1,0,0,115,17,Apr,24,2:20:00 PM,860,14,79,2,Partly Cloudy (>50% sun),29,41
B07,B,0,53,0,0,0,0,115,17,Apr,24,12:15:00 PM,735,12,72,1,Partly Cloudy (>50% sun),29,49
B07,B,0,53,0,0,0,0,115,17,Apr,24,2:21:00 PM,861,14,79,2,Partly Cloudy (>50% sun),29,41
B08,B,1,53,0,0,0,0,115,17,Apr,24,12:03:00 PM,723,12,73,0,Partly Cloudy (>50% sun),29,50
B08,B,0,53,0,0,0,0,115,17,Apr,24,3:02:00 PM,902,15,77,2,Partly Cloudy (>50% sun),29,42
B09,B,0,53,0,0,0,0,115,17,Apr,24,12:30:00 PM,750,12,72,1,Partly Cloudy (>50% sun),29,49
B09,B,0,53,0,0,0,0,115,17,Apr,24,2:35:00 PM,875,14,79,2,Partly Cloudy (>50% sun),29,41
B10,B,1,54,0,1,0,0,115,17,Apr,24,12:44:00 PM,764,12,76,1,Partly Cloudy (>50% sun),29,45
B10,B,1,54,0,1,0,0,115,17,Apr,24,3:11:00 PM,911,15,77,2,Partly Cloudy (>50% sun),29,43
B11,B,0,54,0,1,0,0,115,17,Apr,24,12:43:00 PM,763,12,76,1,Partly Cloudy (>50% sun),29,45
B11,B,0,54,0,1,0,0,115,17,Apr,24,3:14:00 PM,914,15,77,2,Partly Cloudy (>50% sun),29,43
B12,B,1,54,0,1,0,0,115,17,Apr,24,12:22:00 PM,742,12,72,1,Partly Cloudy (>50% sun),29,49
B12,B,1,54,0,1,0,0,115,17,Apr,24,2:54:00 PM,894,14,77,2,Partly Cloudy (>50% sun),29,42
B13,B,0,55,0,0,0,1,115,17,Apr,24,12:32:00 PM,752,12,72,1,Partly Cloudy (>50% sun),29,49
B13,B,0,55,0,0,0,1,115,17,Apr,24,2:49:00 PM,889,14,77,2,Partly Cloudy (>50% sun),29,42
B14,B,0,55,0,0,0,1,115,17,Apr,24,12:00:00 PM,720,12,73,0,Partly Cloudy (>50% sun),29,50
B14,B,0,55,0,0,0,1,115,17,Apr,24,2:37:00 PM,877,14,79,2,Partly Cloudy (>50% sun),29,41
B15,B,0,55,0,0,0,1,115,17,Apr,24,11:44:00 AM,704,11,73,0,Partly Cloudy (>50% sun),29,50
B15,B,0,55,0,0,0,1,115,17,Apr,24,2:06:00 PM,846,14,79,2,Partly Cloudy (>50% sun),29,41
B16,B,0,56,0,0,1,0,115,17,Apr,24,11:47:00 AM,707,11,73,0,Partly Cloudy (>50% sun),29,50
B16,B,2,56,0,0,1,0,115,17,Apr,24,2:12:00 PM,852,14,79,2,Partly Cloudy (>50% sun),29,41
B17,B,3,56,0,0,1,0,115,17,Apr,24,12:57:00 PM,777,12,76,1,Partly Cloudy (>50% sun),29,45
B17,B,4,56,0,0,1,0,115,17,Apr,24,14:11:00 PM,851,14,79,2,Partly Cloudy (>50% sun),29,45
B18,B,0,56,0,0,1,0,115,17,Apr,24,11:33:00 AM,693,11,73,0,Partly Cloudy (>50% sun),29,50
B18,B,0,56,0,0,1,0,115,17,Apr,24,3:19:00 PM,919,15,77,2,Partly Cloudy (>50% sun),29,43
B19,B,1,57,0,0,1,1,115,17,Apr,24,12:24:00 PM,744,12,72,1,Partly Cloudy (>50% sun),29,49
B19,B,8,57,0,0,1,1,115,17,Apr,24,3:04:00 PM,904,15,77,2,Partly Cloudy (>50% sun),29,42
B20,B,0,57,0,0,1,1,115,17,Apr,24,11:38:00 AM,698,11,73,0,Partly Cloudy (>50% sun),29,50
B20,B,1,57,0,0,1,1,115,17,Apr,24,3:23:00 PM,923,15,77,2,Partly Cloudy (>50% sun),29,43
B21,B,1,57,0,0,1,1,115,17,Apr,24,1:06:00 PM,786,13,76,1,Partly Cloudy (>50% sun),29,45
B21,B,5,57,0,0,1,1,115,17,Apr,24,3:30:00 PM,930,15,77,2,Partly Cloudy (>50% sun),29,43
C01,C,1,51,1,0,0,0,119,17,Apr,28,1:54:00 PM,834,13,78,2,Full Sun,29,29
C01,C,0,51,1,0,0,0,119,17,Apr,28,10:42:00 AM,642,10,66,2,Full Sun,28,44
C02,C,0,51,1,0,0,0,119,17,Apr,28,1:42:00 PM,822,13,75,3,Full Sun,28,33
C02,C,0,51,1,0,0,0,119,17,Apr,28,11:16:00 AM,676,11,73,2,Full Sun,28,36
C03,C,3,51,1,0,0,0,119,17,Apr,28,1:38:00 PM,818,13,75,3,Full Sun,29,33
C03,C,1,51,1,0,0,0,119,17,Apr,28,10:33:00 AM,633,10,66,2,Full Sun,29,44
C04,C,0,52,1,1,0,0,119,17,Apr,28,1:29:00 PM,809,13,75,3,Full Sun,28,33
C04,C,0,52,1,1,0,0,119,17,Apr,28,11:28:00 AM,688,11,73,2,Full Sun,28,36
C05,C,1,52,1,1,0,0,119,17,Apr,28,11:03:00 AM,663,11,73,2,Full Sun,29,36
C05,C,0,52,1,1,0,0,119,17,Apr,28,2:31:00 PM,871,14,78,2,Full Sun,28,29
C06,C,0,52,1,1,0,0,119,17,Apr,28,10:23:00 AM,623,10,66,2,Full Sun,28,44
C06,C,0,52,1,1,0,0,119,17,Apr,28,2:17:00 PM,857,14,78,2,Full Sun,28,29
C07,C,1,53,0,0,0,0,119,17,Apr,28,10:56:00 AM,656,10,66,2,Full Sun,29,44
C07,C,0,53,0,0,0,0,119,17,Apr,28,2:25:00 PM,865,14,78,2,Full Sun,28,29
C08,C,0,53,0,0,0,0,119,17,Apr,28,1:53:00 PM,833,13,78,2,Full Sun,28,29
C08,C,0,53,0,0,0,0,119,17,Apr,28,11:41:00 AM,701,11,72,2,Full Sun,28,34
C09,C,0,53,0,0,0,0,119,17,Apr,28,11:35:00 AM,695,11,72,2,Full Sun,28,34
C09,C,0,53,0,0,0,0,119,17,Apr,28,2:03:00 PM,843,14,78,2,Full Sun,28,29
C10,C,0,54,0,1,0,0,119,17,Apr,28,1:13:00 PM,793,13,75,3,Full Sun,28,33
C10,C,0,54,0,1,0,0,119,17,Apr,28,10:25:00 AM,625,10,66,2,Full Sun,28,44
C11,C,0,54,0,1,0,0,119,17,Apr,28,1:20:00 PM,800,13,75,3,Full Sun,28,33
C11,C,0,54,0,1,0,0,119,17,Apr,28,11:23:00 AM,683,11,73,2,Full Sun,28,36
C12,C,2,54,0,1,0,0,119,17,Apr,28,10:50:00 AM,650,10,66,2,Full Sun,28,44
C12,C,0,54,0,1,0,0,119,17,Apr,28,2:40:00 PM,880,14,79,2,Full Sun,28,27
C13,C,0,55,0,0,0,1,119,17,Apr,28,1:35:00 PM,815,13,75,3,Full Sun,28,33
C13,C,0,55,0,0,0,1,119,17,Apr,28,11:02:00 AM,662,11,73,2,Full Sun,28,36
C14,C,0,55,0,0,0,1,119,17,Apr,28,11:09:00 AM,669,11,73,2,Full Sun,28,36
C14,C,0,55,0,0,0,1,119,17,Apr,28,2:48:00 PM,888,14,79,2,Full Sun,28,27
C15,C,0,55,0,0,0,1,119,17,Apr,28,1:21:00 PM,801,13,75,3,Full Sun,28,33
C15,C,0,55,0,0,0,1,119,17,Apr,28,10:41:00 AM,641,10,66,2,Full Sun,28,44
C16,C,1,56,0,0,1,0,119,17,Apr,28,11:50:00 AM,710,11,72,2,Full Sun,28,34
C16,C,11,56,0,0,1,0,119,17,Apr,28,2:02:00 PM,842,14,78,2,Full Sun,28,29
C17,C,14,56,0,0,1,0,119,17,Apr,28,1:27:00 PM,807,13,75,3,Full Sun,28,33
C17,C,1,56,0,0,1,0,119,17,Apr,28,11:21:00 AM,681,11,73,2,Full Sun,29,36
C18,C,1,56,0,0,1,0,119,17,Apr,28,11:35:00 AM,695,11,72,2,Full Sun,29,34
C18,C,7,56,0,0,1,0,119,17,Apr,28,2:10:00 PM,850,14,78,2,Full Sun,29,29
C19,C,3,57,0,0,1,1,119,17,Apr,28,11:12:00 AM,672,11,73,2,Full Sun,29,36
C19,C,22,57,0,0,1,1,119,17,Apr,28,2:29:00 PM,869,14,78,2,Full Sun,28,29
C20,C,4,57,0,0,1,1,119,17,Apr,28,1:47:00 PM,827,13,75,3,Full Sun,29,33
C20,C,0,57,0,0,1,1,119,17,Apr,28,10:33:00 AM,633,10,66,2,Full Sun,28,44
C21,C,0,57,0,0,1,1,119,17,Apr,28,10:50:00 AM,650,10,66,2,Full Sun,28,44
C21,C,8,57,0,0,1,1,119,17,Apr,28,2:10:00 PM,850,14,78,2,Full Sun,28,29
